KASHUBIAN LEXICAL MODEL (TOP 1000 WORDS)
======================================================================
Total words: 443,303
Unique words: 84,322
Cleaned with blacklist: removed 57,219 words (11.43%)
Created: 2025-11-27 14:12:30

Rank   Word                 Count      Probability     Percentage
----------------------------------------------------------------------
1      w                    17013      0.03837781      3.8378%
2      je                   8144       0.01837118      1.8371%
3      to                   7578       0.01709440      1.7094%
4      i                    7187       0.01621239      1.6212%
5      na                   7031       0.01586048      1.5860%
6      z                    5066       0.01142785      1.1428%
7      a                    4006       0.00903671      0.9037%
8      do                   3758       0.00847727      0.8477%
9      rok                  3190       0.00719598      0.7196%
10     sã                   2764       0.00623501      0.6235%
11     rokù                 2356       0.00531465      0.5315%
12     ë                    2040       0.00460182      0.4602%
13     téż                  1518       0.00342429      0.3424%
14     òd                   1490       0.00336113      0.3361%
15     béł                  1447       0.00326413      0.3264%
16     pò                   1386       0.00312653      0.3127%
17     you                  1350       0.00304532      0.3045%
18     s                    1250       0.00281974      0.2820%
19     krézu                1229       0.00277237      0.2772%
20     we                   1195       0.00269567      0.2696%
21     są                   1158       0.00261221      0.2612%
22     this                 1085       0.00244754      0.2448%
23     wies                 1032       0.00232798      0.2328%
24     òn                   1003       0.00226256      0.2263%
25     gminie               1001       0.00225805      0.2258%
26     kalãdôrz             961        0.00216782      0.2168%
27     ò                    943        0.00212721      0.2127%
28     nie                  941        0.00212270      0.2123%
29     kalãdôrza            935        0.00210917      0.2109%
30     jin                  919        0.00207307      0.2073%
31     stolatégò            876        0.00197608      0.1976%
32     że                   863        0.00194675      0.1947%
33     wòjewództwie         851        0.00191968      0.1920%
34     abò                  833        0.00187908      0.1879%
35     pòl                  832        0.00187682      0.1877%
36     jak                  831        0.00187456      0.1875%
37     tu                   789        0.00177982      0.1780%
38     przez                783        0.00176629      0.1766%
39     kaszëbach            748        0.00168733      0.1687%
40     pòdług               741        0.00167154      0.1672%
41     rodzëznë             732        0.00165124      0.1651%
42     pòczątk              719        0.00162192      0.1622%
43     dzéń                 714        0.00161064      0.1611%
44     gregòriańsczi        707        0.00159485      0.1595%
45     za                   696        0.00157003      0.1570%
46     przëpôdł             696        0.00157003      0.1570%
47     juliańsczégò         684        0.00154296      0.1543%
48     pòmòrsczim           683        0.00154071      0.1541%
49     dlô                  667        0.00150461      0.1505%
50     wiele                649        0.00146401      0.1464%
51     wikimedia            640        0.00144371      0.1444%
52     ùr                   634        0.00143017      0.1430%
53     te                   632        0.00142566      0.1426%
54     kòl                  632        0.00142566      0.1426%
55     kaszëbskô            628        0.00141664      0.1417%
56     mô                   626        0.00141213      0.1412%
57     mòże                 626        0.00141213      0.1412%
58     jegò                 592        0.00133543      0.1335%
59     bëc                  582        0.00131287      0.1313%
60     kaszëbsczi           567        0.00127903      0.1279%
61     òna                  543        0.00122490      0.1225%
62     that                 532        0.00120008      0.1200%
63     nieprzestãpny        527        0.00118880      0.1189%
64     tak                  523        0.00117978      0.1180%
65     co                   521        0.00117527      0.1175%
66     chtërnégò            521        0.00117527      0.1175%
67     wiki                 518        0.00116850      0.1169%
68     if                   514        0.00115948      0.1159%
69     christusa            511        0.00115271      0.1153%
70     warszawa             501        0.00113015      0.1130%
71     krajach              498        0.00112339      0.1123%
72     niechtërnëch         489        0.00110308      0.1103%
73     naszi                485        0.00109406      0.1094%
74     hewòtny              480        0.00108278      0.1083%
75     pòlsczi              479        0.00108053      0.1081%
76     gardu                479        0.00108053      0.1081%
77     kaszëbsczégò         477        0.00107601      0.1076%
78     égò                  477        0.00107601      0.1076%
79     ùżiwóny              477        0.00107601      0.1076%
80     erë                  476        0.00107376      0.1074%
81     narodzenim           476        0.00107376      0.1074%
82     dzesãcolecô          472        0.00106473      0.1065%
83     gregòriańsczégò      467        0.00105346      0.1053%
84     juliańsczi           467        0.00105346      0.1053%
85     równak               463        0.00104443      0.1044%
86     bëła                 445        0.00100383      0.1004%
87     gard                 438        0.00098804      0.0988%
88     lëdztwò              430        0.00096999      0.0970%
89     ùm                   428        0.00096548      0.0965%
90     jãzëka               426        0.00096097      0.0961%
91     wòjewództwa          424        0.00095646      0.0956%
92     zwëczajny            417        0.00094067      0.0941%
93     nad                  404        0.00091134      0.0911%
94     ze                   399        0.00090006      0.0900%
95     pòmòrsczégò          399        0.00090006      0.0900%
96     jakno                397        0.00089555      0.0896%
97     ni                   393        0.00088653      0.0887%
98     tim                  393        0.00088653      0.0887%
99     ji                   392        0.00088427      0.0884%
100    please               386        0.00087074      0.0871%
101    patrz                382        0.00086171      0.0862%
102    jãzëk                380        0.00085720      0.0857%
103    wikipedia            373        0.00084141      0.0841%
104    an                   372        0.00083916      0.0839%
105    mionowi              370        0.00083464      0.0835%
106    swiece               367        0.00082788      0.0828%
107    leno                 363        0.00081885      0.0819%
108    nié                  359        0.00080983      0.0810%
109    wiéchrzëzna          359        0.00080983      0.0810%
110    all                  357        0.00080532      0.0805%
111    ci                   356        0.00080306      0.0803%
112    more                 355        0.00080081      0.0801%
113    language             354        0.00079855      0.0799%
114    bëło                 352        0.00079404      0.0794%
115    latach               348        0.00078502      0.0785%
116    aaaaaa               342        0.00077148      0.0771%
117    ale                  341        0.00076923      0.0769%
118    ti                   341        0.00076923      0.0769%
119    drëdżégò             338        0.00076246      0.0762%
120    lëdzy                329        0.00074216      0.0742%
121    rosce                329        0.00074216      0.0742%
122    miem                 328        0.00073990      0.0740%
123    community            324        0.00073088      0.0731%
124    redirect             321        0.00072411      0.0724%
125    tësąclecô            320        0.00072185      0.0722%
126    baro                 319        0.00071960      0.0720%
127    gdańsk               314        0.00070832      0.0708%
128    help                 314        0.00070832      0.0708%
129    tegò                 304        0.00068576      0.0686%
130    pòlsce               304        0.00068576      0.0686%
131    jaż                  301        0.00067899      0.0679%
132    pòd                  298        0.00067223      0.0672%
133    lat                  297        0.00066997      0.0670%
134    jich                 296        0.00066771      0.0668%
135    gduńsk               292        0.00065869      0.0659%
136    gò                   291        0.00065644      0.0656%
137    cest                 291        0.00065644      0.0656%
138    zaczął               290        0.00065418      0.0654%
139    team                 287        0.00064741      0.0647%
140    message              280        0.00063162      0.0632%
141    talk                 279        0.00062937      0.0629%
142    ôrt                  278        0.00062711      0.0627%
143    kòscół               278        0.00062711      0.0627%
144    zôczątkù             275        0.00062034      0.0620%
145    roku                 275        0.00062034      0.0620%
146    czasach              272        0.00061358      0.0614%
147    le                   269        0.00060681      0.0607%
148    nëch                 269        0.00060681      0.0607%
149    słownik              268        0.00060455      0.0605%
150    si                   266        0.00060004      0.0600%
151    nót                  265        0.00059779      0.0598%
152    òb                   265        0.00059779      0.0598%
153    przë                 264        0.00059553      0.0596%
154    chtëren              263        0.00059327      0.0593%
155    kaszëbów             261        0.00058876      0.0589%
156    dopiérze             261        0.00058876      0.0589%
157    project              261        0.00058876      0.0589%
158    meta                 259        0.00058425      0.0584%
159    dni                  258        0.00058199      0.0582%
160    foundation           257        0.00057974      0.0580%
161    dzél                 256        0.00057748      0.0577%
162    list                 255        0.00057523      0.0575%
163    bez                  251        0.00056620      0.0566%
164    samò                 248        0.00055944      0.0559%
165    sw                   245        0.00055267      0.0553%
166    ju                   242        0.00054590      0.0546%
167    color                241        0.00054365      0.0544%
168    data                 241        0.00054365      0.0544%
169    wiôldżi              240        0.00054139      0.0541%
170    pamiãtac             240        0.00054139      0.0541%
171    katolëcczich         240        0.00054139      0.0541%
172    pòwszechny           239        0.00053913      0.0539%
173    oficjalno            235        0.00053011      0.0530%
174    not                  234        0.00052786      0.0528%
175    kaszëbsczim          234        0.00052786      0.0528%
176    dzysdniowim          234        0.00052786      0.0528%
177    ùżiwónégò            232        0.00052334      0.0523%
178    mają                 231        0.00052109      0.0521%
179    kaszëbi              231        0.00052109      0.0521%
180    wsë                  230        0.00051883      0.0519%
181    re                   229        0.00051658      0.0517%
182    dosc                 227        0.00051207      0.0512%
183    ten                  227        0.00051207      0.0512%
184    hewòtnym             226        0.00050981      0.0510%
185    rozeszłosc           226        0.00050981      0.0510%
186    wënôszała            226        0.00050981      0.0510%
187    roscëna              226        0.00050981      0.0510%
188    use                  226        0.00050981      0.0510%
189    gmina                225        0.00050755      0.0508%
190    wedle                223        0.00050304      0.0503%
191    mediawiki            220        0.00049627      0.0496%
192    miono                217        0.00048951      0.0490%
193    swiãtëją             217        0.00048951      0.0490%
194    òbéńdze              215        0.00048500      0.0485%
195    wmf                  215        0.00048500      0.0485%
196    bëłë                 214        0.00048274      0.0483%
197    now                  213        0.00048048      0.0480%
198    k                    211        0.00047597      0.0476%
199    òstôł                210        0.00047372      0.0474%
200    other                210        0.00047372      0.0474%
201    jaczi                208        0.00046921      0.0469%
202    jakò                 207        0.00046695      0.0467%
203    czas                 206        0.00046469      0.0465%
204    bò                   206        0.00046469      0.0465%
205    user                 201        0.00045341      0.0453%
206    kraków               200        0.00045116      0.0451%
207    nim                  198        0.00044665      0.0447%
208    edit                 198        0.00044665      0.0447%
209    tam                  196        0.00044214      0.0442%
210    karno                194        0.00043762      0.0438%
211    gardã                193        0.00043537      0.0435%
212    wrocław              191        0.00043086      0.0431%
213    stołpsczim           191        0.00043086      0.0431%
214    information          191        0.00043086      0.0431%
215    miôł                 190        0.00042860      0.0429%
216    cet                  190        0.00042860      0.0429%
217    bëtowsczim           190        0.00042860      0.0429%
218    czë                  189        0.00042634      0.0426%
219    so                   189        0.00042634      0.0426%
220    kartësczim           189        0.00042634      0.0426%
221    kùńca                187        0.00042183      0.0422%
222    template             185        0.00041732      0.0417%
223    visualeditor         185        0.00041732      0.0417%
224    english              183        0.00041281      0.0413%
225    mògą                 182        0.00041055      0.0411%
226    séwnika              181        0.00040830      0.0408%
227    ta                   180        0.00040604      0.0406%
228    mieszkańców          179        0.00040379      0.0404%
229    any                  179        0.00040379      0.0404%
230    òne                  178        0.00040153      0.0402%
231    dniów                177        0.00039928      0.0399%
232    editing              176        0.00039702      0.0397%
233    kultury              175        0.00039476      0.0395%
234    chtërne              175        0.00039476      0.0395%
235    jesz                 174        0.00039251      0.0393%
236    kaszubskich          174        0.00039251      0.0393%
237    tle                  174        0.00039251      0.0393%
238    zemi                 173        0.00039025      0.0390%
239    no                   173        0.00039025      0.0390%
240    tekst                172        0.00038800      0.0388%
241    pierszi              172        0.00038800      0.0388%
242    et                   171        0.00038574      0.0386%
243    przed                171        0.00038574      0.0386%
244    mln                  170        0.00038348      0.0383%
245    przestãpny           170        0.00038348      0.0383%
246    kalãdôrzu            168        0.00037897      0.0379%
247    od                   168        0.00037897      0.0379%
248    local                168        0.00037897      0.0379%
249    gòdnika              167        0.00037672      0.0377%
250    jãzëkù               167        0.00037672      0.0377%
251    karna                167        0.00037672      0.0377%
252    żëje                 167        0.00037672      0.0377%
253    ma                   166        0.00037446      0.0374%
254    gwar                 166        0.00037446      0.0374%
255    committee            166        0.00037446      0.0374%
256    there                166        0.00037446      0.0374%
257    midzë                165        0.00037221      0.0372%
258    ne                   165        0.00037221      0.0372%
259    chtërny              164        0.00036995      0.0370%
260    gregorijansczim      164        0.00036995      0.0370%
261    chtërna              164        0.00036995      0.0370%
262    like                 164        0.00036995      0.0370%
263    also                 164        0.00036995      0.0370%
264    jaczé                163        0.00036769      0.0368%
265    tej                  163        0.00036769      0.0368%
266    projects             163        0.00036769      0.0368%
267    font                 162        0.00036544      0.0365%
268    gduńskù              162        0.00036544      0.0365%
269    ludowej              162        0.00036544      0.0365%
270    czej                 161        0.00036318      0.0363%
271    zdrojach             161        0.00036318      0.0363%
272    strëmiannika         161        0.00036318      0.0363%
273    zélnika              160        0.00036093      0.0361%
274    available            160        0.00036093      0.0361%
275    ro                   159        0.00035867      0.0359%
276    size                 158        0.00035642      0.0356%
277    maja                 157        0.00035416      0.0354%
278    czasu                157        0.00035416      0.0354%
279    cało                 157        0.00035416      0.0354%
280    oprac                156        0.00035190      0.0352%
281    nich                 155        0.00034965      0.0350%
282    tom                  155        0.00034965      0.0350%
283    eùropie              153        0.00034514      0.0345%
284    pierszégò            153        0.00034514      0.0345%
